station,water_depth_ft,slope_decimal,soil_shear_lb_ft2,sediment_transport_lb_s_410ft,sediment_transport_kg_s_m,velocity_ms
1,1.92,0.009,1.08,20.19,0.95,1.0
2,2.81,0.0067,1.17,94.19,1.12,0.75
3,2.12,0.012,1.59,174.39,2.07,1.2
4,2.73,0.0095,1.62,181.05,2.1,0.9
5,1.56,0.009,0.88,47.18,0.56,1.25
6,1.09,0.007,0.47,14.99,0.18,1.4
7,2.36,0.011,1.61,179.91,2.14,1.2
8,1.12,0.0076,0.53,19.11,0.23,0.91
9,0.56,0.0056,0.19,2.49,0.03,0.6
10,1.0,0.021,1.31,108.48,1.29,1.08
11,1.0,0.013,0.81,44.96,0.53,1.2
12,2.02,0.014,1.76,213.81,2.54,1.1
13,1.51,0.0096,0.9,55.58,0.66,0.7
14,3.0,0.0096,1.8,223.67,2.66,0.6
15,1.56,0.0105,1.02,71.49,0.85,1.0
16,0.95,0.0112,0.65,28.55,0.34,0.9
17,3.2,0.011,2.19,331.45,3.94,0.88
18,1.2,0.0151,1.13,87.83,1.05,0.22
19,1.52,0.0132,1.25,107.57,1.28,0.95
20,1.78,0.0108,1.19,97.45,1.16,1.1
