sediment_yield_t_ha_yr,peak_discharge_m3s,headcut_retreat_m
7.308901113257493,19.784262954144506,23.032766788189402
8.468728673000612,26.018425014769573,16.58161016766521
8.888254806642363,15.36582379523685,23.338772321845727
9.634227354760423,27.59054067343357,24.479981605734302
9.671210793378652,27.028267581202737,25.06795949945839
9.204303060652094,22.7707947751419,16.975874871041675
10.936207662093963,27.367637860765257,17.248427394147186
8.315392006597236,20.639312186908445,21.088038479630153
12.001707396152177,21.4782175640786,20.866142511546233
11.410919879681785,26.140991040105504,21.375324009091884
11.277588962240099,23.59803683764224,19.909219594160998
8.499700476811695,22.205892378562755,22.02473803837741
9.488109617418443,23.919659932369882,11.339109229767464
11.015575061341998,28.717860827999786,23.866514950975112
9.336156199748993,28.587984334994815,27.04035485283622
8.42754713335113,25.727523291383616,19.143101684060557
8.354542007546954,23.109305160840503,22.089188379315992
8.443183779837234,26.04673296365662,27.854609560724864
7.587095187405092,21.41080137339251,21.430508961855335
14.924043938807884,28.21597678605906,22.491161278242068
6.146779038840668,27.483923339824845,28.482635954922785
7.914961195322328,30.77082618274712,29.24207015703237
10.784762404053215,21.612707591601602,17.16301496906312
8.459850569221496,21.19690320341401,19.695176347219327
9.059883814482605,26.146935977588193,24.78499761583625
10.419244115417255,23.38289628109884,23.238748406492935
11.57888423225871,27.64771919458244,24.05356312147824
9.202376902773182,28.714328618704343,11.07589876290096
11.378091067502046,30.004395766499037,13.679874428065625
6.610695325218727,24.495634297260807,28.258438948391415
8.597122339255924,27.249288470000966,24.31810743985288
10.600570418215787,22.56818567144579,22.679203218926165
13.291206927249792,25.027670253776126,16.455069683133434
7.9429868719684436,24.120986058063238,19.681546691166538
7.622575141506347,23.942308907123827,23.521643258296773
10.321351770918994,30.410120945617265,15.905980439090952
9.796789237472263,19.804032265990895,18.54950931713508
8.392451971989221,24.283322931303985,22.764062723558297
7.485627595955308,24.48013123565766,23.5999959650676
8.764715323586708,26.455057655983495,19.260110724409547
10.648652013348823,20.624472750006955,25.13084473336962
9.093574225084467,23.29839977305073,25.004132016637776
11.831515449095306,22.30418145165856,14.308262148885243
9.452439516501089,16.75609551362924,27.6880672197445
10.794739058320813,28.19430143788967,25.849021476601813
10.206822390208332,19.375726697213636,22.105617976491573
8.965325483875557,18.929217004797376,20.764531246391893
11.216274301906815,27.47455387718987,24.378438492148074
7.484540922295071,23.17823544911954,23.38150341469638
8.692501807331114,23.294048392795695,20.240944528077655
8.946717648809297,23.357913331659468,27.564456875306895
10.39440041157086,27.899141785553926,13.09166357656667
10.84810641732152,22.451399389638173,18.7069185392178
8.216373125404916,26.293470042260676,23.04633608381701
7.959905736546386,20.477060108571344,21.09679440084133
9.843005121004847,25.405651124423482,24.028402723720806
6.90147951467986,27.32401703938988,15.860904050469344
11.53426113969629,29.007072918334067,20.307675094251692
9.292626809374056,19.110416386453142,25.78643682166541
